# Structural native schema-2 frame vectors; opaque archive strings are not monetary proofs or qualification.
# name	method	request_hex	response_hex
reserve	1	494b474d434f5231020003000000000004000000160000002000000061616161616161616161616161616161616161616161616161616161616161610e0000007075626c69632d62696e64696e67	494b474d434f52310200010000000000200000006161616161616161616161616161616161616161616161616161616161616161
qualification	2	494b474d434f5231020006000000000004000000010000002000000031313131313131313131313131313131313131313131313131313131313131311000000068617264776172652d70726f66696c651300000068617264776172652d63726564656e7469616c04000000ffff0000200000003232323232323232323232323232323232323232323232323232323232323232	494b474d434f52310200000000000000
authenticated-reply	3	494b474d434f5231020009000000000004000000010000002000000033333333333333333333333333333333333333333333333333333333333333331100000063616e6f6e6963616c2d636f6d6d616e640f00000063616e6f6e6963616c2d7265706c7904000000010000002000000031313131313131313131313131313131313131313131313131313131313131311000000068617264776172652d70726f66696c651300000068617264776172652d63726564656e7469616c04000000ffff0000	494b474d434f52310200000000000000
begin-send	4	494b474d434f5231020008000000000020000000353535353535353535353535353535353535353535353535353535353535353504000000000000000f0000007061796d656e742d7265717565737404000000010000002000000031313131313131313131313131313131313131313131313131313131313131311000000068617264776172652d70726f66696c651300000068617264776172652d63726564656e7469616c04000000ffff0000	494b474d434f523102000200000000002000000035353535353535353535353535353535353535353535353535353535353535351500000063616e6f6e6963616c2d7072657061726174696f6e
begin-redeem	4	494b474d434f52310200090000000000200000003636363636363636363636363636363636363636363636363636363636363636040000000100000010000000010101010101010101010101010101010b00000062656e656669636961727904000000010000002000000031313131313131313131313131313131313131313131313131313131313131311000000068617264776172652d70726f66696c651300000068617264776172652d63726564656e7469616c04000000ffff0000	494b474d434f523102000200000000002000000036363636363636363636363636363636363636363636363636363636363636361500000063616e6f6e6963616c2d7072657061726174696f6e
prove	5	494b474d434f523102000200000000001500000063616e6f6e6963616c2d7072657061726174696f6e1300000061757468656e746963617465642d7265706c79	494b474d434f523102000100000000001300000063616e6f6e6963616c2d63616e646964617465
terminal-envelope	6	494b474d434f523102000200000000001300000063616e6f6e6963616c2d63616e6469646174651300000061757468656e746963617465642d7265706c79	494b474d434f523102000100000000001200000063616e6f6e6963616c2d656e76656c6f7065
installed-terminal	7	494b474d434f523102000500000000001300000063616e6f6e6963616c2d63616e6469646174651200000063616e6f6e6963616c2d656e76656c6f70650d000000696e7374616c6c2d7265706c790f000000696e7374616c6c65642d7265706c790e000000736e617073686f742d7265706c79	494b474d434f523102000200000000001200000063616e6f6e6963616c2d656e76656c6f70650f0000006167677265676174652d7374617465
recover-sender	8	494b474d434f523102000800000000000100000001200000003434343434343434343434343434343434343434343434343434343434343434040000000000000004000000010000002000000031313131313131313131313131313131313131313131313131313131313131311000000068617264776172652d70726f66696c651300000068617264776172652d63726564656e7469616c04000000ffff0000	494b474d434f523102000300000000002000000034343434343434343434343434343434343434343434343434343434343434342000000062626262626262626262626262626262626262626262626262626262626262621500000063616e6f6e6963616c2d7072657061726174696f6e
recover-envelope	9	494b474d434f523102000200000000001500000063616e6f6e6963616c2d7072657061726174696f6e0f000000696e7374616c6c65642d7265706c79	494b474d434f523102000100000000001200000063616e6f6e6963616c2d656e76656c6f7065
release-send	10	494b474d434f523102000a000000000020000000414141414141414141414141414141414141414141414141414141414141414104000000000000000f0000007061796d656e742d726571756573741100000063616e6f6e6963616c2d7061796d656e741e0000000000000063616e6f6e6963616c2d7465726d696e616c2d7265636569707404000000010000002000000031313131313131313131313131313131313131313131313131313131313131311000000068617264776172652d70726f66696c651300000068617264776172652d63726564656e7469616c04000000ffff0000	494b474d434f523102000500000000002000000063636363636363636363636363636363636363636363636363636363636363631500000063616e6f6e6963616c2d7072657061726174696f6e2000000064646464646464646464646464646464646464646464646464646464646464641100000063616e6f6e6963616c2d7061796d656e741e00000068617264776172652d72656c656173652d617574686f72697a6174696f6e
release-redeem	10	494b474d434f523102000b0000000000200000004242424242424242424242424242424242424242424242424242424242424242040000000100000010000000010101010101010101010101010101010b00000062656e65666963696172791400000063616e6f6e6963616c2d726564656d7074696f6e1e0000000100000063616e6f6e6963616c2d7465726d696e616c2d7265636569707404000000010000002000000031313131313131313131313131313131313131313131313131313131313131311000000068617264776172652d70726f66696c651300000068617264776172652d63726564656e7469616c04000000ffff0000	494b474d434f523102000500000000002000000063636363636363636363636363636363636363636363636363636363636363631500000063616e6f6e6963616c2d7072657061726174696f6e2000000064646464646464646464646464646464646464646464646464646464646464641400000063616e6f6e6963616c2d726564656d7074696f6e1e00000068617264776172652d72656c656173652d617574686f72697a6174696f6e
recover-missing	8	494b474d434f523102000800000000000100000001200000003434343434343434343434343434343434343434343434343434343434343434040000000000000004000000010000002000000031313131313131313131313131313131313131313131313131313131313131311000000068617264776172652d70726f66696c651300000068617264776172652d63726564656e7469616c04000000ffff0000	494b474d434f52310200000000000000
recover-terminal	8	494b474d434f523102000800000000000100000000200000006262626262626262626262626262626262626262626262626262626262626262040000000100000004000000010000002000000031313131313131313131313131313131313131313131313131313131313131311000000068617264776172652d70726f66696c651300000068617264776172652d63726564656e7469616c04000000ffff0000	494b474d434f523102000300000000002000000034343434343434343434343434343434343434343434343434343434343434342000000062626262626262626262626262626262626262626262626262626262626262621500000063616e6f6e6963616c2d7072657061726174696f6e
